lnm;eM5;eM5Ba
281;34188,04109;31343,05775
280;34762,75206;31946,0541
279;35330,25682;32588,05871
278;35893,99755;33301,57101
277;36404,73783;34014,94026
276;36876,76489;34746,34588
275;37311,18441;35497,23625
274;37683,00116;36234,54869
273;38055,25601;36962,06212
272;38457,01218;37704,42307
271;38816,99741;38429,50463
270;39155,85279;39111,15527
269;39463,49025;39711,67207
268;39707,64577;40268,91589
267;39873,20364;40745,87524
266;39986,78625;41150,14374
265;40030,78938;41510,4419
264;40061,07748;41873,30306
263;40112,61165;42206,74038
262;40151,98648;42543,95664
261;40175,48859;42847,8688
260;40185,42767;43144,01746
259;40183,56502;43370,05019
258;40153,56898;43548,01178
257;40067,22867;43632,51925
256;39918,50913;43648,08798
255;39677,70338;43577,46542
254;39374,37534;43392,65823
253;38940,50419;43080,02889
252;38428,69997;42640,54298
251;37822,17503;42049,61956
250;37105,70037;41313,18927
249;36333,28378;40465,59036
248;35478,84822;39487,47814
247;34538,12301;38426,85819
246;33566,96367;37292,1139
245;32585,47187;36141,93499
244;31597,5517;34998,54505
243;30610,37958;33869,47215
242;29669,18051;32808,03561
241;28808,43282;31839,51974
240;28019,0587;30971,70293
239;27329,94258;30240,25857
238;26742,29443;29652,06504
237;26245,36157;29200,54197
236;25869,7778;28929,38554
235;25552,65427;28801,84948
234;25355,72648;28827,4765
233;25218,83249;28975,55828
232;25177,54138;29263,14771
231;25199,96762;29658,1775
230;25297,05167;30169,83867
229;25425,753;30737,06627
228;25628,5876;31402,63557
227;25869,45593;32115,02433
226;26139,77194;32843,66727
225;26491,78803;33619,78233
224;26873,97897;34415,32552
223;27301,1148;35226,41659
222;27826,59531;36052,40881
221;28435,41503;36925,43507
220;29134,10962;37839,2756
219;29976,57955;38832,34859
218;30961,45988;39914,54542
217;32070,13607;41112,20539
216;33348,53947;42450,91081
215;34802,863;43933,32601
214;36365,44645;45580,92356
213;38096,88389;47542,55116
212;39959,63335;49793,78879
211;41880,81622;52404,30236
210;43816,24162;55436,6529
209;45816,22481;58930,40299
208;47843,60826;62812,25085
207;49981,19473;66959,31554
206;52255,57685;71302,25897
205;54741,81771;75646,09051
204;57389,54544;79810,27365
203;60161,20315;83822,8941
202;63072,8364;87753,67737
201;66079,59867;91575,29473
200;69106,71592;95334,32722
