Labels;RuSL_BOLD062A2_REP2;RuSL_BOLD062_B2_rep2;RuSL_BOLD062_C2_REP;RuSL_BOLD062_D2_REP2
558;8,77E+02;7,65E+02;8,26E+02;1,11E+03
559;9,27E+02;7,66E+02;8,12E+02;1,11E+03
560;9,27E+02;7,83E+02;8,46E+02;1,08E+03
561;1,03E+03;8,13E+02;8,03E+02;1,02E+03
562;1,05E+03;8,06E+02;8,23E+02;1,03E+03
563;1,15E+03;8,42E+02;8,19E+02;1,02E+03
564;1,28E+03;8,34E+02;8,28E+02;1,02E+03
565;1,33E+03;8,49E+02;8,24E+02;1,02E+03
566;1,46E+03;8,92E+02;8,43E+02;9,88E+02
567;1,49E+03;8,83E+02;8,60E+02;9,40E+02
568;1,63E+03;9,32E+02;8,53E+02;9,71E+02
569;1,74E+03;9,72E+02;8,34E+02;9,56E+02
570;1,83E+03;1,05E+03;8,67E+02;9,18E+02
571;2,00E+03;1,08E+03;8,64E+02;9,14E+02
572;2,13E+03;1,11E+03;8,59E+02;9,29E+02
573;2,28E+03;1,16E+03;9,19E+02;9,18E+02
574;2,53E+03;1,19E+03;9,30E+02;8,96E+02
575;2,70E+03;1,24E+03;9,01E+02;9,07E+02
576;2,95E+03;1,31E+03;9,23E+02;8,65E+02
577;3,08E+03;1,40E+03;9,73E+02;9,05E+02
578;3,39E+03;1,50E+03;9,64E+02;8,71E+02
579;3,69E+03;1,57E+03;1,03E+03;9,15E+02
580;3,95E+03;1,68E+03;1,07E+03;8,71E+02
581;4,28E+03;1,74E+03;1,08E+03;9,11E+02
582;4,58E+03;1,93E+03;1,12E+03;8,79E+02
583;4,95E+03;1,95E+03;1,16E+03;8,62E+02
584;5,39E+03;2,06E+03;1,24E+03;8,83E+02
585;5,65E+03;2,20E+03;1,29E+03;8,86E+02
586;6,22E+03;2,38E+03;1,29E+03;8,76E+02
587;6,53E+03;2,49E+03;1,30E+03;8,54E+02
588;7,17E+03;2,60E+03;1,39E+03;8,40E+02
589;7,56E+03;2,73E+03;1,46E+03;9,09E+02
590;8,15E+03;2,99E+03;1,52E+03;9,02E+02
591;8,64E+03;3,13E+03;1,62E+03;8,83E+02
592;9,28E+03;3,33E+03;1,65E+03;8,88E+02
593;9,86E+03;3,50E+03;1,73E+03;8,95E+02
594;1,05E+04;3,66E+03;1,72E+03;9,19E+02
595;1,13E+04;3,83E+03;1,81E+03;9,36E+02
596;1,19E+04;4,05E+03;1,82E+03;9,15E+02
597;1,25E+04;4,23E+03;1,94E+03;9,44E+02
598;1,35E+04;4,50E+03;2,04E+03;9,50E+02
599;1,42E+04;4,77E+03;2,11E+03;9,90E+02
600;1,49E+04;4,92E+03;2,11E+03;9,28E+02
601;1,58E+04;5,20E+03;2,31E+03;9,19E+02
602;1,65E+04;5,39E+03;2,41E+03;9,28E+02
603;1,74E+04;5,70E+03;2,52E+03;1,03E+03
604;1,83E+04;5,94E+03;2,55E+03;9,94E+02
605;1,93E+04;6,36E+03;2,60E+03;1,04E+03
606;2,02E+04;6,56E+03;2,83E+03;1,06E+03
607;2,09E+04;6,74E+03;2,83E+03;1,04E+03
608;2,21E+04;7,05E+03;2,90E+03;1,01E+03
609;2,30E+04;7,27E+03;2,97E+03;1,08E+03
610;2,39E+04;7,62E+03;3,10E+03;1,11E+03
611;2,52E+04;7,95E+03;3,25E+03;1,17E+03
612;2,59E+04;8,17E+03;3,28E+03;1,12E+03
613;2,73E+04;8,50E+03;3,36E+03;1,20E+03
614;2,78E+04;8,58E+03;3,43E+03;1,18E+03
615;2,89E+04;9,03E+03;3,56E+03;1,16E+03
616;3,01E+04;9,32E+03;3,62E+03;1,16E+03
