lnm;eM5;eM5Ba;;
250;20504,28391;23504,7698;;
248;21149,13911;23796,7059;;
246;21762,04622;23980,23456;;
244;21948,86655;23701,8019;;
242;21602,78559;22956,21634;;
240;21028,34135;22098,1434;;
238;20370,02891;21338,05752;;
236;19580,38658;20611,38004;;
234;18698,30489;19915,52562;;
232;17934,50415;19443,16924;;
230;17487,4261;19332,30311;;
228;17542,60659;19710,88946;;
226;18140,89566;20542,58585;;
224;19461,19815;21901,64924;;
222;21632,11703;23927,09255;;
220;24655,55072;26617,09785;;
