λ_nm;c_1E-5M;e_M_1_cm_1
220;0,399807483;39980,7483
219;0,407337397;40733,73973
218;0,415766507;41576,65074
217;0,424633861;42463,38606
216;0,43462348;43462,34798
215;0,445188016;44518,80157
214;0,455917507;45591,75074
213;0,467863798;46786,37981
212;0,480284631;48028,46313
211;0,493577629;49357,76293
210;0,507832766;50783,27656
209;0,523618341;52361,83405
208;0,539755225;53975,52252
207;0,55667603;55667,60302
206;0,575049639;57504,96387
205;0,593715012;59371,50121
204;0,612401366;61240,13662
203;0,63094604;63094,60402
202;0,64917016;64917,01603
201;0,666937113;66693,71128
200;0,67555666;67555,66597
