λ_nm;RuSL_5E-5;RuSL_2d5E-5;RuSL_1E-5;RuSL_5E-6;RuSL_1E-6;RuSL_1E-7
690;1,40E+06;8,31E+05;3,33E+05;1,60E+05;2,45E+04;2,26E+03
692;1,36E+06;8,12E+05;3,28E+05;1,55E+05;2,45E+04;2,23E+03
694;1,34E+06;8,16E+05;3,27E+05;1,54E+05;2,33E+04;2,17E+03
696;1,32E+06;7,88E+05;3,19E+05;1,52E+05;2,25E+04;2,19E+03
698;1,30E+06;7,75E+05;3,10E+05;1,46E+05;2,33E+04;1,85E+03
700;1,29E+06;7,71E+05;3,07E+05;1,47E+05;2,34E+04;2,84E+03
702;1,27E+06;7,56E+05;2,98E+05;1,44E+05;2,16E+04;1,90E+03
704;1,25E+06;7,36E+05;2,98E+05;1,43E+05;2,30E+04;2,34E+03
706;1,24E+06;7,26E+05;2,91E+05;1,42E+05;2,28E+04;1,88E+03
708;1,22E+06;7,23E+05;2,89E+05;1,39E+05;2,04E+04;2,30E+03
710;1,20E+06;7,07E+05;2,85E+05;1,36E+05;2,12E+04;1,93E+03
712;1,17E+06;6,96E+05;2,77E+05;1,35E+05;2,17E+04;2,46E+03
714;1,16E+06;6,82E+05;2,74E+05;1,32E+05;1,88E+04;2,51E+03
716;1,13E+06;6,71E+05;2,67E+05;1,30E+05;1,96E+04;1,68E+03
718;1,10E+06;6,60E+05;2,62E+05;1,27E+05;2,05E+04;1,91E+03
720;1,09E+06;6,55E+05;2,63E+05;1,24E+05;2,00E+04;1,89E+03
722;1,07E+06;6,38E+05;2,45E+05;1,24E+05;2,00E+04;1,74E+03
724;1,05E+06;6,16E+05;2,44E+05;1,17E+05;1,80E+04;1,36E+03
726;1,03E+06;6,11E+05;2,45E+05;1,22E+05;1,80E+04;1,53E+03
728;1,01E+06;5,89E+05;2,41E+05;1,14E+05;1,84E+04;1,14E+03
730;9,88E+05;5,75E+05;2,32E+05;1,12E+05;1,69E+04;1,57E+03
732;9,67E+05;5,76E+05;2,24E+05;1,11E+05;1,74E+04;1,57E+03
734;9,43E+05;5,52E+05;2,22E+05;1,07E+05;1,66E+04;1,35E+03
736;9,12E+05;5,43E+05;2,14E+05;1,08E+05;1,69E+04;1,35E+03
738;9,01E+05;5,27E+05;2,13E+05;1,02E+05;1,51E+04;1,11E+03
740;8,79E+05;5,21E+05;2,09E+05;1,01E+05;1,64E+04;1,30E+03
742;8,47E+05;5,11E+05;2,01E+05;9,71E+04;1,61E+04;7,12E+02
744;8,36E+05;4,91E+05;1,96E+05;9,42E+04;1,40E+04;9,86E+02
746;8,22E+05;4,77E+05;1,96E+05;9,09E+04;1,27E+04;1,59E+03
748;7,90E+05;4,55E+05;1,86E+05;8,91E+04;1,52E+04;4,99E+02
750;7,63E+05;4,46E+05;1,89E+05;8,48E+04;1,39E+04;7,48E+02
752;7,42E+05;4,36E+05;1,71E+05;8,21E+04;1,19E+04;4,80E+02
754;7,14E+05;4,20E+05;1,75E+05;8,51E+04;1,34E+04;5,93E+02
756;7,01E+05;4,17E+05;1,63E+05;7,89E+04;1,29E+04;1,12E+03
758;6,75E+05;4,08E+05;1,61E+05;8,04E+04;1,32E+04;4,72E+02
760;6,51E+05;3,83E+05;1,53E+05;7,57E+04;1,13E+04;0,00E+00
762;6,49E+05;3,76E+05;1,48E+05;7,13E+04;1,16E+04;1,11E+03
764;6,30E+05;3,69E+05;1,38E+05;7,09E+04;1,01E+04;8,03E+02
766;6,14E+05;3,61E+05;1,43E+05;6,49E+04;1,12E+04;3,54E+02
768;5,91E+05;3,54E+05;1,36E+05;6,90E+04;1,00E+04;7,27E+02
770;5,76E+05;3,32E+05;1,29E+05;6,44E+04;8,77E+03;7,51E+02
772;5,39E+05;3,19E+05;1,34E+05;5,92E+04;1,01E+04;5,79E+02
774;5,31E+05;3,13E+05;1,24E+05;6,47E+04;8,50E+03;-3,31E+02
776;5,14E+05;3,05E+05;1,25E+05;5,96E+04;9,58E+03;1,02E+03
778;4,93E+05;2,93E+05;1,12E+05;5,02E+04;7,75E+03;4,92E+02
780;4,89E+05;2,93E+05;1,20E+05;5,54E+04;8,34E+03;6,53E+02
782;4,66E+05;2,78E+05;1,11E+05;5,03E+04;9,05E+03;-7,48E+01
784;4,49E+05;2,70E+05;1,05E+05;5,37E+04;7,96E+03;6,16E+02
786;4,39E+05;2,69E+05;1,06E+05;4,99E+04;7,88E+03;2,38E+02
788;4,28E+05;2,46E+05;9,70E+04;4,62E+04;7,30E+03;-8,98E+02
790;4,16E+05;2,49E+05;9,77E+04;4,65E+04;7,33E+03;1,68E+02
792;4,05E+05;2,35E+05;8,76E+04;4,40E+04;7,10E+03;-6,06E+02
794;3,84E+05;2,29E+05;9,44E+04;4,43E+04;6,32E+03;0,00E+00
796;3,84E+05;2,21E+05;8,65E+04;4,28E+04;6,98E+03;3,67E+02
798;3,65E+05;2,12E+05;8,61E+04;3,95E+04;6,70E+03;-2,83E+02
800;3,47E+05;2,08E+05;8,56E+04;3,69E+04;7,56E+03;-3,87E+02
