lnm;e375;e375Ar;e375Ba;e375ArBa
732;8,27E+03;2,62E+04;4,61E+04;1,82E+05
734;7,98E+03;2,42E+04;4,50E+04;1,78E+05
736;7,38E+03;2,45E+04;4,28E+04;1,73E+05
738;7,48E+03;2,38E+04;4,27E+04;1,69E+05
740;6,80E+03;2,37E+04;4,15E+04;1,65E+05
742;6,90E+03;2,28E+04;4,04E+04;1,61E+05
744;6,82E+03;2,26E+04;3,98E+04;1,55E+05
746;6,97E+03;2,24E+04;3,90E+04;1,52E+05
748;6,52E+03;2,08E+04;3,78E+04;1,51E+05
750;6,40E+03;2,18E+04;3,64E+04;1,46E+05
752;6,31E+03;1,99E+04;3,49E+04;1,40E+05
754;5,89E+03;1,98E+04;3,44E+04;1,35E+05
756;5,78E+03;1,99E+04;3,27E+04;1,32E+05
758;5,50E+03;1,92E+04;3,31E+04;1,30E+05
760;5,79E+03;1,78E+04;3,14E+04;1,26E+05
762;5,81E+03;1,75E+04;3,11E+04;1,22E+05
764;5,21E+03;1,65E+04;3,11E+04;1,20E+05
766;4,62E+03;1,72E+04;2,87E+04;1,17E+05
768;4,58E+03;1,64E+04;2,77E+04;1,13E+05
770;4,91E+03;1,71E+04;2,75E+04;1,07E+05
772;4,59E+03;1,60E+04;2,63E+04;1,04E+05
774;4,33E+03;1,61E+04;2,64E+04;1,02E+05
776;4,60E+03;1,57E+04;2,46E+04;9,79E+04
778;4,20E+03;1,51E+04;2,33E+04;9,78E+04
780;3,94E+03;1,36E+04;2,40E+04;9,20E+04
782;4,02E+03;1,46E+04;2,20E+04;8,97E+04
784;3,90E+03;1,44E+04;2,22E+04;8,63E+04
786;3,74E+03;1,34E+04;2,23E+04;8,42E+04
788;3,24E+03;1,31E+04;2,03E+04;8,13E+04
790;3,52E+03;1,30E+04;2,14E+04;7,86E+04
792;3,20E+03;1,29E+04;1,99E+04;7,87E+04
794;3,02E+03;1,23E+04;1,83E+04;7,73E+04
796;3,23E+03;1,19E+04;1,72E+04;7,27E+04
798;3,56E+03;1,16E+04;1,79E+04;7,06E+04
800;2,82E+03;1,16E+04;1,64E+04;6,95E+04
